year,std,s.depth
1735,0.603201346,2
1736,0.591590562,2
1737,0.859582228,4
1738,0.84758484,5
1739,0.930190348,5
1740,0.827794866,6
1741,0.615807342,6
1742,0.731523532,6
1743,0.621879359,6
1744,0.882672671,6
1745,1.123081261,6
1746,1.30992021,8
1747,1.687275122,8
1748,1.379927451,8
1749,1.253943693,8
1750,1.271277855,8
1751,0.895160625,8
1752,0.975710066,8
1753,0.475519685,8
1754,0.470321639,8
1755,0.637959582,8
1756,0.86830362,8
1757,0.823428377,8
1758,0.887750585,8
1759,0.699325649,8
1760,1.123222213,8
1761,0.916360548,8
1762,0.932461026,8
1763,1.274269026,8
1764,0.844048272,8
1765,1.164428448,8
1766,1.04814693,8
1767,0.602175591,8
1768,0.478506774,8
1769,0.828914551,8
1770,0.973660552,8
1771,1.137059173,8
1772,1.101710721,8
1773,1.069510029,9
1774,1.167410508,9
1775,0.634200045,10
1776,0.877677279,10
1777,0.6921787,9
1778,0.73814779,9
1779,0.68997296,9
1780,0.760686498,8
1781,0.708597582,8
1782,0.554714569,8
1783,0.869947068,8
1784,1.219427645,8
1785,1.288635569,8
1786,0.894528519,8
1787,0.652596405,8
1788,0.654953657,9
1789,0.752308772,8
1790,0.910327927,7
1791,0.952284784,7
1792,1.098622649,8
1793,1.191513497,9
1794,0.819016987,9
1795,0.856944093,9
1796,0.393005998,9
1797,0.709141218,10
1798,0.657453272,10
1799,0.602006656,10
1800,0.553864427,10
1801,0.614882463,10
1802,0.604612607,12
1803,0.647101417,14
1804,1.17499523,15
1805,0.692221923,17
1806,0.708585407,16
1807,0.488012244,15
1808,0.410129931,15
1809,0.385077074,15
1810,0.193001026,15
1811,0.223058478,16
1812,0.2867108,16
1813,0.530839239,16
1814,0.862989068,16
1815,0.996380363,16
1816,1.269228773,16
1817,0.498506772,16
1818,0.527354535,16
1819,0.759999748,17
1820,1.157449504,17
1821,0.731250955,17
1822,0.815427181,18
1823,0.629538324,18
1824,0.994464844,18
1825,1.846592456,19
1826,1.187774919,18
1827,1.059043601,18
1828,0.782450947,18
1829,0.872710501,18
1830,0.995261127,18
1831,0.888119206,18
1832,0.896614227,18
1833,1.120275215,18
1834,0.940103642,17
1835,0.62562746,16
1836,0.734625135,17
1837,0.672356381,16
1838,0.656014364,17
1839,1.348530153,17
1840,0.857615721,14
1841,0.653716106,14
1842,0.773652712,12
1843,0.610680479,13
1844,0.584791514,12
1845,0.975062528,12
1846,1.070958558,11
1847,0.649241431,10
1848,0.505173687,10
1849,0.263631469,12
1850,0.502983858,12
1851,1.190139748,12
1852,1.070379941,12
1853,0.890234383,12
1854,0.49937076,12
1855,0.760467838,11
1856,0.831881816,12
1857,0.703141596,12
1858,0.855925373,13
1859,0.511622394,13
1860,0.541540636,13
1861,1.129933173,13
1862,0.888787712,13
1863,0.663299849,14
1864,1.056733746,14
1865,0.888775537,14
1866,0.842798221,14
1867,1.253072347,14
1868,1.003619432,14
1869,1.305836279,14
1870,0.954055035,14
1871,0.790939318,13
1872,1.048365865,13
1873,1.262394629,13
1874,1.364982806,12
1875,0.498553621,12
1876,0.612157484,11
1877,0.788154439,10
1878,1.163332613,10
1879,0.492586894,10
1880,0.277678364,10
1881,0.898868983,10
1882,0.828458979,10
1883,0.697503061,10
1884,0.79940092,10
1885,1.103758473,9
1886,1.320790946,9
1887,0.623983255,10
1888,0.76029634,10
1889,1.067305512,10
1890,0.952148048,10
1891,0.97225444,11
1892,1.503353241,11
1893,1.088361239,11
1894,1.188012221,10
1895,0.951241889,10
1896,0.851926977,10
1897,1.071649049,10
1898,1.073941145,11
1899,0.792962995,11
1900,0.970179065,12
1901,1.068670389,13
1902,1.471691264,15
1903,1.118891494,16
1904,0.787553729,22
1905,1.375488776,23
1906,1.191993088,25
1907,0.894594273,26
1908,0.93805709,24
1909,0.742836438,25
1910,0.955778381,25
1911,0.82585859,25
1912,1.076989062,25
1913,0.765456231,25
1914,1.034963611,25
1915,1.659671424,25
1916,1.088076339,25
1917,0.870072211,25
1918,0.843828812,27
1919,0.76997766,27
1920,0.780216899,27
1921,1.119165039,26
1922,1.036348852,26
1923,1.263986026,26
1924,1.25016173,27
1925,1.062946516,27
1926,0.82347355,27
1927,1.236679915,27
1928,1.000400465,27
1929,1.470678017,28
1930,0.846911793,29
1931,1.230196743,29
1932,0.818737384,29
1933,0.689651744,28
1934,1.385908218,28
1935,1.506025337,28
1936,1.464553388,27
1937,1.49479343,27
1938,1.158883006,26
1939,0.95918383,23
1940,0.926261844,23
1941,2.064082205,22
1942,1.331039338,22
1943,0.876380547,21
1944,1.363057343,19
1945,1.313100027,17
1946,0.867264169,17
1947,1.085229364,17
1948,1.214723222,11
1949,0.76944267,12
1950,0.665955634,13
1951,0.943578128,13
1952,1.247689068,13
1953,1.34934078,13
1954,1.094991021,14
1955,0.997386295,13
1956,0.724518389,12
1957,1.345027839,12
1958,1.488071547,12
1959,1.441964611,12
1960,1.189816234,12
1961,1.092802091,13
1962,0.938327267,15
1963,1.053500239,15
1964,1.090213617,15
1965,0.557501693,16
1966,1.004072986,16
1967,1.045035598,16
1968,1.192094077,16
1969,0.904099982,18
1970,1.003701014,17
1971,0.837423294,18
1972,0.852879906,17
1973,0.916150998,17
1974,1.093723804,17
1975,0.993576361,17
1976,0.98080171,17
1977,1.480803323,17
1978,1.544441855,17
1979,1.820516291,17
1980,2.088594241,17
1981,2.252650016,17
1982,1.266477975,17
1983,1.679390865,17
1984,1.918688482,17
1985,1.034658537,17
1986,0.942842668,17
1987,1.211516301,16
1988,1.374888404,16
1989,1.486904833,16
1990,1.993403151,16
1991,1.529114022,16
1992,1.684098819,16
1993,1.432543755,16
1994,0.857686331,16
1995,1.486795407,16
1996,1.355945831,16
1997,1.855394462,16
1998,2.811861494,15
1999,1.667719404,15
2000,1.313026413,15
2001,1.279445539,11
2002,1.362945676,6
2003,0.866908668,3
2004,0.858087247,1
2005,1.11185991,1
2006,0.994811662,1
2007,0.568509385,1
2008,0.420542003,1
